iso3,year,corr_d01,corr_d02,corr_d03,corr_d04,corr_d05,corr_d06,corr_d07,corr_analysis_d01,corr_analysis_d02,corr_analysis_d03,corr_analysis_d05,corr_analysis_d07,lat,lon,income_group_2020,gdp_pc_2011_2020
-99,1985.0,0.37075843832446437,0.3464253581799019,0.3402902100963644,0.286938536663342,0.2595794708187405,0.2230482167064326,0.18854472322671517,0.14834164125297367,0.08362861262535681,0.09473631103771932,0.1178382830373609,0.16764974241723432,34.74256002664198,-14.723046419415253,,
-99,1986.0,0.4691602431939587,0.43315346954252215,0.40704505912570654,0.36954243246822965,0.3328617418051856,0.2942846293698762,0.24053495309525816,0.8942076785771361,0.8460616170300806,0.8075083023540273,0.7094433859117597,0.6167669075873288,34.74256002664198,-14.723046419415253,,
-99,1987.0,0.4594907924312535,0.4323156183019357,0.38823713334353865,0.3468939255088605,0.3080656534781896,0.2799185484576406,0.2524807091265574,0.9003421265983949,0.8467048122493488,0.8211220234607058,0.7357099585745486,0.6635935273440696,34.74256002664198,-14.723046419415253,,
-99,1988.0,0.4552507083573686,0.4412302580448576,0.42447454418676095,0.39325044468520437,0.3692124026212509,0.3129653126843379,0.29842076660585726,0.7813122174716483,0.7545622978376381,0.712797365733252,0.6523097768422914,0.5555614936287437,34.74256002664198,-14.723046419415253,,
-99,1989.0,0.5497462668641698,0.5095909092267478,0.47615992020407805,0.4134156358735881,0.36323339483200356,0.3168434159367243,0.294627036675679,0.8396073153211973,0.7947821940625102,0.7595528233691533,0.6505775855635184,0.5542466760449237,34.74256002664198,-14.723046419415253,,
-99,1990.0,0.4939045932133304,0.4707546334983528,0.4457000711475011,0.4294348809671573,0.3871005267346913,0.32973614407675256,0.3029733087028923,0.9391421932383157,0.9074265146952251,0.8744366194840889,0.8137927709160842,0.7224090201827356,34.74256002664198,-14.723046419415253,,
-99,1991.0,0.44464334956558044,0.42510859633474296,0.4135661186595795,0.3670836077289322,0.3669507608178391,0.3272472529019095,0.2964044835263089,0.9368637103904305,0.9085261812235672,0.8830827304973254,0.783673926008971,0.6891653427963875,34.74256002664198,-14.723046419415253,,
-99,1992.0,0.5673995866589449,0.5210956757205233,0.49132450351806484,0.45975661217260294,0.41041733351608234,0.36224111796924335,0.32799553977705337,0.8374864970514139,0.7477744146354511,0.7089370655172358,0.5727117119733701,0.4245419106821073,34.74256002664198,-14.723046419415253,,
-99,1993.0,0.6339290884342366,0.6027159962066999,0.5703536742642312,0.5278000001322364,0.49396450064779734,0.444488993821054,0.4031320236091537,0.8776882780009924,0.7937138497742683,0.7435173921721001,0.6401784336530187,0.4931539317454157,34.74256002664198,-14.723046419415253,,
-99,1994.0,0.6328447122530956,0.612684563631082,0.6004395607479471,0.5619073347051686,0.4776906467377782,0.42191371949305984,0.3385148325988698,0.8374360946824038,0.7853257559165577,0.7454040795110984,0.5819615290628143,0.4123601157380663,34.74256002664198,-14.723046419415253,,
-99,1995.0,0.6455949947576725,0.6229873550263061,0.5928185044641291,0.5714532546008854,0.5466972222699111,0.5222672009974593,0.42305151112568334,0.8720630164383362,0.826853968741274,0.7791894319528527,0.6657855765956464,0.518510847009578,34.74256002664198,-14.723046419415253,,
-99,1996.0,0.5607254345780104,0.5303020389537861,0.515108715954277,0.46487197896837623,0.3990207714540424,0.37847387436890334,0.28943709311957977,0.856671634375167,0.7929277374239316,0.7576810978407819,0.637242834634072,0.4857503207009649,34.74256002664198,-14.723046419415253,,
-99,1997.0,0.6350325133640803,0.6146926227525292,0.5832994569966847,0.5414034102863997,0.45368550267902763,0.35132181612324215,0.2842763271291904,0.8779407653742736,0.8251319428537477,0.7859153144775748,0.655435166800582,0.4318601198957454,34.74256002664198,-14.723046419415253,,
-99,1998.0,0.6860531239904542,0.6673173460927051,0.6352282230391197,0.5841684802780742,0.5340692297172859,0.4909922826712006,0.39905194821017254,0.8991250834098833,0.8783952113946071,0.8425557936794321,0.7344495687083518,0.5766075180011854,34.74256002664198,-14.723046419415253,,
-99,1999.0,0.5618911490279298,0.5617342781079452,0.5228498259106309,0.4909456515192725,0.44352745683154504,0.38150241544740426,0.3324630214846216,0.8489387491421448,0.8078300561276089,0.7586309852860932,0.649421710531798,0.5147280497472546,34.74256002664198,-14.723046419415253,,
-99,2000.0,0.6267884153370722,0.5970230013654738,0.5534299351583869,0.49956094440557036,0.42965815935996826,0.42170480292560225,0.33055993035586495,0.877374397227761,0.8312876465916456,0.7825211313069647,0.6556346765628248,0.5386753852608274,34.74256002664198,-14.723046419415253,,
-99,2001.0,0.6012575577698334,0.5785359506420724,0.5712867405818143,0.5475915755604173,0.49321473847769987,0.4386319028324513,0.34194967731833503,0.8594925995996255,0.8304673129435652,0.8041741154315215,0.7150418591906599,0.5642634434304258,34.74256002664198,-14.723046419415253,,
-99,2002.0,0.5959758064943779,0.5812862360286777,0.5625678988907121,0.5135414731233894,0.4733978916491391,0.4255669467290966,0.36674744843630763,0.8915795903904403,0.8657412428393564,0.8490535784831471,0.7536443019012525,0.5938682670102203,34.74256002664198,-14.723046419415253,,
-99,2003.0,0.6666028305389718,0.6573385878078297,0.6431564116259213,0.6190476056854857,0.570721574973981,0.5304243332971679,0.4663409768554029,0.9105706940098677,0.8798126354160007,0.8616231635050138,0.7872215854720186,0.6592767447992411,34.74256002664198,-14.723046419415253,,
