iso3,income_group_2020,gdp_pc_2011_2020
WSM,Lower middle,5980.413928317782
YEM,Low,
ZAF,Upper middle,13793.77083560673
ZMB,Low,3325.671688093109
ZWE,Lower middle,2252.020837506276
ABW,nan,36649.182007379735
AND,nan,
GIB,nan,
KOS,nan,9612.162611955424
MAF,nan,
MCO,nan,
SMR,nan,58452.420740580965
SXM,nan,41752.86552867349
