radiosonde_id,year,nobs,lat,lon,year_first,year_last
AGM00060390,1985,1300,36.6833,3.2167,1948,2023
AGM00060390,1986,1387,36.6833,3.2167,1948,2023
AGM00060390,1987,1371,36.6833,3.2167,1948,2023
AGM00060390,1988,1304,36.6833,3.2167,1948,2023
AGM00060390,1989,1214,36.6833,3.2167,1948,2023
AGM00060390,1990,1108,36.6833,3.2167,1948,2023
AGM00060390,1991,1304,36.6833,3.2167,1948,2023
AGM00060390,1992,1304,36.6833,3.2167,1948,2023
AGM00060390,1993,1319,36.6833,3.2167,1948,2023
AGM00060390,1994,1248,36.6833,3.2167,1948,2023
AGM00060390,1995,1317,36.6833,3.2167,1948,2023
AGM00060390,1996,1320,36.6833,3.2167,1948,2023
AGM00060390,1997,1286,36.6833,3.2167,1948,2023
AGM00060390,1998,1395,36.6833,3.2167,1948,2023
AGM00060390,1999,1250,36.6833,3.2167,1948,2023
AGM00060390,2000,1372,36.6833,3.2167,1948,2023
AGM00060390,2001,1313,36.6833,3.2167,1948,2023
AGM00060390,2002,1254,36.6833,3.2167,1948,2023
AGM00060390,2003,1250,36.6833,3.2167,1948,2023
AGM00060390,2004,1415,36.6833,3.2167,1948,2023
AGM00060390,2005,1333,36.6833,3.2167,1948,2023
AGM00060390,2006,1306,36.6833,3.2167,1948,2023
AGM00060390,2007,1311,36.6833,3.2167,1948,2023
AGM00060390,2008,1025,36.6833,3.2167,1948,2023
AGM00060390,2009,729,36.6833,3.2167,1948,2023
AGM00060390,2010,695,36.6833,3.2167,1948,2023
AGM00060390,2011,728,36.6833,3.2167,1948,2023
AGM00060390,2012,723,36.6833,3.2167,1948,2023
AGM00060390,2013,681,36.6833,3.2167,1948,2023
AGM00060390,2014,723,36.6833,3.2167,1948,2023
AGM00060390,2015,730,36.6833,3.2167,1948,2023
AGM00060390,2016,547,36.6833,3.2167,1948,2023
AGM00060390,2017,359,36.6833,3.2167,1948,2023
AGM00060390,2018,365,36.6833,3.2167,1948,2023
AGM00060390,2019,362,36.6833,3.2167,1948,2023
AGM00060390,2020,365,36.6833,3.2167,1948,2023
AGM00060402,1985,675,36.717,5.067,1973,1988
AGM00060402,1986,821,36.717,5.067,1973,1988
AGM00060402,1987,795,36.717,5.067,1973,1988
AGM00060402,1988,235,36.717,5.067,1973,1988
AGM00060419,1985,923,36.283,6.617,1973,2008
AGM00060419,1986,954,36.283,6.617,1973,2008
AGM00060419,1987,1013,36.283,6.617,1973,2008
AGM00060419,1988,1081,36.283,6.617,1973,2008
AGM00060419,1989,1013,36.283,6.617,1973,2008
AGM00060419,1990,813,36.283,6.617,1973,2008
AGM00060419,1991,422,36.283,6.617,1973,2008
