iso3,year_all,corr_d01_all,corr_d02_all,corr_d03_all,corr_d04_all,corr_d05_all,corr_d06_all,corr_d07_all,lat,lon,year_subset,corr_d01_subset,corr_d02_subset,corr_d03_subset,corr_d04_subset,corr_d05_subset,corr_d06_subset,corr_d07_subset,income_group_2020,gdp_pc_2011_2020,log_gdp_pc_2011_2020
-99,2015.5,0.7382453135265228,0.7098125081363336,0.7096062440825348,0.6863817396543712,0.6500819229022917,0.6133932576136678,0.5285254696029307,39.521583271924776,7.867134756651987,2015.5,0.6907975806443208,0.6749483391403973,0.6560192444134729,0.6246874129808588,0.5906737899038167,0.5628425562882041,0.5032109486522698,,,
ABW,2015.0,0.4516198747714734,0.45780449532654327,0.4370947967910638,0.40033344160811984,0.37829779026388927,0.3312158315216469,0.32737766049922473,12.79660449908491,-69.7889877910348,,,,,,,,,,,
AFG,2015.5,0.7361444044234571,0.7236392881451492,0.7054530102645533,0.684627549769493,0.6592013791725485,0.6195779556499208,0.5788802822314407,35.29062291356142,69.09053681932508,2015.5,0.6452729752829385,0.6354585503809457,0.6230691539534707,0.611981549792902,0.5881517860598341,0.5503609412126711,0.511196389557567,Low,2080.890892889107,7.640551394884147
AGO,2015.5,0.3599582200739173,0.34418486680892346,0.30676253049912483,0.2861901605045838,0.27408907147967926,0.29016238466614486,0.24841923788932702,-9.49243582830614,14.026635375009098,2015.5,0.46716046583751336,0.4151317665983146,0.36486058902507346,0.3395239968974245,0.33572582643807053,0.3263546278532605,0.28346841980048654,Lower middle,7414.520047931143,8.911195525293206
ALB,2015.5,0.7875568220924316,0.7698639328403242,0.7639799412741293,0.7489801789661696,0.7061247192131693,0.6602358751299391,0.5783718532929746,41.647766421564675,20.18498634491855,2015.5,0.8022838415008573,0.7913805483477623,0.7772118915191177,0.7494116761426436,0.7147244892788457,0.6615008162368985,0.58485308520432,Upper middle,12241.62499122117,9.412597307975076
AND,2015.5,0.9041570366441706,0.8917128123907491,0.8715826042018474,0.8357762915390745,0.7867287830492765,0.7102771897097642,0.6141593745556565,42.59618301847487,1.1007678347682597,2015.5,0.9199823647891552,0.9072566297944606,0.8882652637598089,0.8508755092062522,0.7999138617922199,0.7146362860267848,0.6142245544612891,,,
ARE,2015.5,0.7285997093485315,0.7093447066765826,0.6951993234877948,0.6713943957200204,0.6309078620673378,0.5829671109759286,0.5399355279491029,25.071776055119653,55.43854309102916,2015.5,0.7423402253820932,0.7250586335292997,0.709860115259594,0.6811666269340062,0.6421924477997523,0.600491062363046,0.5526281284981682,High,66595.79168091477,11.106396666557783
ARG,2015.5,0.810630145657532,0.7941724550110847,0.7795407674919725,0.7582582789351284,0.7222535186333419,0.6631856770088541,0.6127560261338848,-32.29628871059681,-62.18321297505388,2015.5,0.8231140856696136,0.8067049082822448,0.7923369624420629,0.7661392878221231,0.7279606718100409,0.6789156739364686,0.6038941033226838,Upper middle,23196.546973328448,10.05175870922049
ARM,2015.5,0.7805897188113085,0.7730741454881394,0.7583890152306454,0.7230765004726476,0.6961405124255902,0.6470137596244232,0.563890502834207,40.567793644841366,45.23672327612345,2015.5,0.8633057466111402,0.8531497083148258,0.8385494688995616,0.809991701226024,0.7720778776467996,0.718710643800829,0.6384547249671069,Upper middle,11812.671315797204,9.376928074621462
ASM,2015.0,0.3620980016489524,0.276578696169169,0.19933090329099856,0.29162144961752157,0.25957399859241154,0.23044848208964908,0.19984921319789756,-14.348648170690318,-170.71668148780935,,,,,,,,,Upper middle,,
ATF,2015.5,,,,,,,,,,2015.5,,,,,,,,,,
AUS,2015.5,0.7758832607899986,0.764598883118408,0.7476352435228815,0.722405369432848,0.6829886726775384,0.6031167207822683,0.5438724810740171,-33.01694919012682,145.02659430161492,2015.5,0.8142277376456093,0.8032452228535906,0.7866357137097475,0.7628320694700047,0.7228373852024037,0.6659737755219768,0.6030390219466646,High,47700.77630011697,10.772702951379578
AUT,2015.5,0.761245849790263,0.7440469506601582,0.7245274814710468,0.6980895495066551,0.6537598418584164,0.5918719918305081,0.5105499729973471,47.563739037840676,13.943223343713063,2015.5,0.7537863661842563,0.7396627129991846,0.7202264668647761,0.6915395273207114,0.646448861103643,0.5837202609345566,0.5017959959802515,High,53581.1973757329,10.88895349028699
AZE,2015.5,0.8240327992154999,0.8132402496161519,0.797216420914134,0.7720611542363782,0.7332740046354396,0.6814983814063298,0.610473200755706,40.05028805901971,47.090472219265855,2015.5,0.7941463769856518,0.7866107790028168,0.7738891265287021,0.757176585822896,0.7200077081736822,0.6723460010402491,0.6045359580906247,Upper middle,14304.5558144568,9.568333353933035
BDI,2015.5,0.456798584807517,0.43138195183591554,0.3728747047024853,0.36413078771929314,0.35979744677595116,0.3297521546958955,0.30050709776895596,-2.555431881511201,29.689040209987958,2015.5,0.4787862809398957,0.44364707591285857,0.3964592796524097,0.364288932579736,0.36844472409286266,0.34523224350343995,0.3287110001869795,Low,775.6056543840933,6.653644213677267
BEL,2015.5,0.913390900582273,0.8943363754853231,0.8705186266107235,0.8357549617882063,0.7835228545756554,0.7089424500252576,0.6158122477306083,50.897162146016335,5.171789612311674,2015.5,0.9142450270690856,0.895246780585867,0.8703243870456996,0.8347670846593559,0.7845376036328875,0.7105785796803696,0.6133017982647929,High,49511.71999233481,10.809964688053691
BEN,2015.5,0.25931869886554554,0.22793510655049923,0.20447669774107494,0.19990150749179833,0.18446855324022987,0.1720350540988586,0.1769772194981488,7.501520438458653,2.4797864325414207,2015.5,0.24292383359236056,0.21859257800370405,0.21086413990628072,0.183235704886363,0.1815498862948683,0.18556460602341712,0.16458323090667545,Lower middle,2901.7351195105903,7.973064154126887
BFA,2015.5,0.5475853067622601,0.5102955960557778,0.5109982598294639,0.4796689372284687,0.45658824578704316,0.42475292845294066,0.3923272945930506,11.91794865647994,-2.0014367037696355,2015.5,0.5535784244971795,0.5171863667330966,0.512191833957541,0.484466346064961,0.4594612736852236,0.42307265473698663,0.3937585834041965,Low,1917.949409334953,7.559011878314985
BGD,2015.5,0.5702579326611102,0.5310414510339625,0.5044182454153187,0.48511785282046516,0.4589564538997027,0.4248012588563956,0.3921551189699367,24.064882691340166,89.69849682818558,2015.5,0.5781030855276993,0.536625264078028,0.5116190585190458,0.48983970756010625,0.46213118591263047,0.42913196604996295,0.3970936914655304,Lower middle,4532.045975739612,8.41892876678744
BGR,2015.5,0.7967151268347347,0.7777830580132473,0.754811145478391,0.729302894036105,0.691272283458158,0.6451336055582251,0.5645142374852917,43.26330945950657,25.60099190496273,2015.5,0.8583803877827826,0.8402004314497781,0.8190931746048111,0.7934633361583071,0.7529122812611073,0.7019593808370106,0.6316989671818172,Upper middle,20587.46934325729,9.932437885389817
BHR,2015.5,0.76522237300417,0.7434297122360296,0.7262303086422202,0.7142969614238419,0.6874410932692253,0.6376798517656892,0.6053869066752334,26.28019729704506,50.588611254592934,2015.5,0.771096319173165,0.7520518105165672,0.737260305299624,0.7232859881577369,0.6984828871550729,0.6432781156205539,0.60842018061633,High,48481.57105963232,10.788939026563673
BHS,2015.5,0.5004736273317387,0.48808626960189844,0.4776387085637774,0.45809207157477605,0.4331792881805191,0.40883107462890206,0.383970717869783,24.664380878739347,-77.6445108603519,2015.5,0.5004736273317387,0.48808626960189844,0.4776387085637774,0.45809207157477605,0.4331792881805191,0.40883107462890206,0.383970717869783,High,33626.915453437505,10.42308208043968
BIH,2015.5,0.8367168348894578,0.8207597503191156,0.8053877364180199,0.7810017448547402,0.7442315208346658,0.6836147498957069,0.5945080922767614,44.37153260938338,18.58047697533366,2015.5,0.84723456164131,0.8327694167834098,0.8181859812191554,0.7937899139862739,0.7571683301285728,0.6994759794591964,0.6075810196244292,Upper middle,12682.68789932209,9.447993184968555
BLR,2015.5,0.28921516521569723,0.26599647462581255,0.2432142628810084,0.23242947031284764,0.21283935594753728,0.17900813209015318,0.13027077519695557,53.36936332277206,27.895462203407657,2015.5,0.30828380500904806,0.28318858426562094,0.26278874134927727,0.24761736166432283,0.22745350753362653,0.19094829937879884,0.14498829455598203,Upper middle,18689.17077056147,9.835699531919136
BLZ,2015.5,0.8028434414247583,0.7897803071479627,0.7817188929403664,0.7611223893379486,0.7429764913092197,0.6939971647859917,0.6491474891024567,18.06935153005184,-88.60030053803482,2015.5,0.7932551780207178,0.7811581482748631,0.774445937830791,0.7530580751808661,0.7374128072967643,0.6899640004280653,0.6422901367816547,Upper middle,8907.484961944696,9.094647209232111
BOL,2015.5,0.5483165915090813,0.5351160038633574,0.5195604571117254,0.5063553727304636,0.4933113386888138,0.4616490628461779,0.4282875557625436,-17.031671068701534,-65.75564226423687,2015.5,0.45677396078884414,0.44433543279906873,0.42919604784637366,0.41875066462743016,0.40434847903820537,0.3807276571573593,0.35536830115916146,Lower middle,7734.371354093481,8.953429486801111
BRA,2015.5,0.6820220179708413,0.6496540303775593,0.6239713215844802,0.6012646376624251,0.5730315357616992,0.5431574478432162,0.4993301223466794,-17.648931566401995,-45.806904795906114,2015.5,0.6949331714397406,0.6626372565398091,0.6383360461842635,0.6130068941859906,0.5834035769182986,0.5533972018681201,0.5107021055094967,Upper middle,14936.255944869928,9.611546821180115
BRN,2015.5,0.4473716342718032,0.3797249443836789,0.32134074949676006,0.29294801477340077,0.28473733412601204,0.25978819630082695,0.2530138829703527,4.722394642383004,114.61017249373711,2015.5,0.4034662141605779,0.329518470875528,0.2662618795273647,0.22923714040141538,0.23940375619355986,0.22127048389264142,0.21922756428207268,High,62949.84205598183,11.050093530430138
