radiosonde_id,lat,lon,year_first,year_last,iso3
BRM00082107,-0.1167,-66.9667,2008,2023,BRA
BRM00082193,-1.3833,-48.4833,1943,2023,BRA
BRM00082244,-2.4333,-54.7167,1973,2023,BRA
BRM00082281,-2.6,-44.2333,1971,2021,BRA
BRM00082332,-3.15,-59.9833,1967,2023,BRA
BRM00082397,-3.7667,-38.6,1973,2019,BRA
BRM00082400,-3.85,-32.4167,1958,2023,BRA
BRM00082411,-4.25,-69.9333,2006,2023,BRA
BRM00082532,-5.8167,-61.2833,2006,2023,BRA
BRM00082599,-5.9167,-35.25,1943,2023,BRA
BRM00082678,-6.7667,-43.0167,1971,2019,BRA
BRM00082705,-7.5833,-72.7667,2004,2023,BRA
BRM00082765,-7.3333,-47.4667,1970,2019,BRA
BRM00082824,-8.7667,-63.9167,1977,2023,BRA
BRM00082900,-8.05,-34.9167,1952,2019,BRA
BRM00082917,-10.0,-67.8,2004,2023,BRA
BRM00082930,-9.333,-54.967,1973,1986,BRA
BRM00082965,-9.8667,-56.1,1987,2023,BRA
BRM00082983,-9.3833,-40.4833,1970,2020,BRA
BRM00083208,-12.7,-60.1,1967,2023,BRA
BRM00083229,-13.0167,-38.5167,1970,2018,BRA
BRM00083288,-13.2667,-43.4167,1970,2015,BRA
BRM00083361,-15.6,-56.1,1991,1993,BRA
BRM00083362,-15.65,-56.1,1974,2021,BRA
BRM00083378,-15.8667,-47.9333,1966,2023,BRA
BRM00083498,-17.7333,-39.25,1975,2016,BRA
BRM00083525,-18.8833,-48.2167,2006,2023,BRA
BRM00083554,-19.0,-57.6667,2002,2023,BRA
BRM00083566,-19.6167,-43.9667,1973,2023,BRA
BRM00083612,-20.4667,-54.6667,1966,2023,BRA
BRM00083649,-20.2667,-40.2833,1973,2023,BRA
BRM00083650,-20.5,-29.3167,1967,2019,
BRM00083746,-22.8167,-43.25,1961,2023,
BRM00083768,-23.3333,-51.1333,1973,2023,BRA
BRM00083779,-23.5,-46.6333,2000,2023,BRA
BRM00083780,-23.617,-46.65,1955,2000,BRA
BRM00083827,-25.5167,-54.5833,1974,2023,BRA
BRM00083840,-25.5167,-49.1667,1965,2023,BRA
BRM00083899,-27.6667,-48.55,1973,2023,BRA
BRM00083928,-29.7833,-57.0333,1973,2023,BRA
BRM00083937,-29.7167,-53.7,2006,2023,BRA
BRM00083971,-30.0,-51.1833,1950,2023,BRA
BUM00015614,42.65,23.3833,1955,2023,BGR
BUM00015730,41.65,25.367,1966,1991,BGR
BXM00096315,4.9333,114.9333,1981,2023,BRN
BXM00096315,4.9333,114.9333,1981,2023,BRN
BXM00096323,4.583,114.2,1999,2022,BRN
BXM00096323,4.583,114.2,1999,2022,BRN
CAM00071043,65.2833,-126.75,1951,2023,CAN
CAM00071051,72.0,-125.27,1955,1986,CAN
CAM00071069,55.283,-114.783,1973,1994,CAN
CAM00071072,76.25,-119.35,1948,1997,CAN
CAM00071081,68.7667,-81.2167,1957,2023,
CAM00071082,82.5,-62.3333,1950,2023,CAN
CAM00071109,50.685,-127.3758,1951,2023,CAN
CAM00071115,50.233,-119.283,1972,1993,CAN
CAM00071119,53.5475,-114.1083,1946,2023,CAN
CAM00071120,54.417,-110.283,1973,2002,CAN
CAM00071121,53.667,-113.467,1985,1999,CAN
CAM00071124,54.75,-110.05,1968,2010,CAN
CAM00071129,51.517,-109.183,1991,1998,CAN
CAM00071145,53.85,-94.65,1984,1996,CAN
CAM00071197,47.567,-59.15,1994,1997,CAN
CAM00071203,49.9408,-119.4003,1994,2017,CAN
CAM00071450,51.133,-106.583,1988,1989,CAN
CAM00071524,45.817,-73.433,1996,1996,CAN
CAM00071569,50.2,-104.7,2004,2011,CAN
CAM00071600,43.9322,-60.0094,1954,2019,CAN
CAM00071603,43.8667,-66.1,1988,2023,CAN
CAM00071621,44.117,-77.533,1999,2001,CAN
CAM00071625,45.95,-77.317,1986,2005,CAN
CAM00071627,45.467,-73.733,1973,1995,CAN
CAM00071701,45.8333,-66.4333,1971,2023,CAN
CAM00071716,46.9,-71.483,1977,2006,CAN
CAM00071722,46.3019,-76.0061,1954,2023,CAN
CAM00071801,47.6667,-52.75,1950,2009,CAN
CAM00071802,47.5167,-52.7833,2009,2023,CAN
CAM00071811,50.2167,-66.25,1954,2023,
CAM00071815,48.5667,-58.5667,1946,2023,CAN
CAM00071816,53.3,-60.3667,1946,2023,CAN
CAM00071823,53.7572,-73.6792,1985,2023,CAN
CAM00071836,51.2667,-80.65,1954,2023,
CAM00071843,49.8,-97.1333,2000,2022,CAN
CAM00071845,51.45,-90.2,1992,2023,CAN
CAM00071851,49.9031,-98.2842,1999,2003,CAN
CAM00071852,49.9,-97.233,1973,1997,CAN
CAM00071853,49.783,-99.633,1968,2007,CAN
CAM00071855,51.1,-100.05,1973,1988,CAN
CAM00071861,50.383,-102.683,1980,1990,CAN
CAM00071863,50.433,-104.667,1973,1994,CAN
CAM00071866,52.167,-106.717,1994,1998,CAN
CAM00071867,53.9667,-101.1,1954,2023,CAN
CAM00071869,53.217,-105.667,1973,1993,CAN
CAM00071874,49.633,-112.8,1973,1994,CAN
CAM00071876,52.767,-108.25,1998,2002,CAN
CAM00071877,51.117,-114.017,1965,1995,CAN
CAM00071892,49.2,-123.167,1973,1996,CAN
CAM00071893,49.7167,-124.9,2009,2010,CAN
CAM00071896,53.883,-122.667,1954,1998,CAN
CAM00071906,58.1167,-68.4167,1947,2023,CAN
CAM00071907,58.4667,-78.0833,1950,2023,CAN
CAM00071908,53.9,-122.79,2000,2023,CAN
CAM00071909,63.75,-68.55,1946,2023,CAN
CAM00071913,58.7333,-94.0667,1950,2023,CAN
CAM00071915,64.2,-83.3667,1950,2017,CAN
CAM00071917,79.9833,-85.9333,1948,2023,
CAM00071924,74.7042,-94.9681,1948,2023,CAN
CAM00071925,69.1333,-105.0667,1962,2023,CAN
CAM00071926,64.3167,-96.0,1949,2023,CAN
CAM00071932,56.65,-111.217,1973,1995,CAN
CAM00071934,60.0261,-111.9294,1954,2023,CAN
CAM00071945,58.8333,-122.6,1954,2023,CAN
CAM00071957,68.3167,-133.5167,1960,2023,CAN
CAM00071964,60.7328,-135.0969,1954,2023,CAN
CDM00064700,12.1333,15.0333,1950,2023,TCD
CDM00064750,9.15,18.3833,1961,2018,TCD
CEM00043413,8.9833,79.9167,1938,2023,
CEM00043418,8.5833,81.25,1973,2023,
CEM00043421,8.3333,80.4167,2008,2009,LKA
CEM00043424,8.0333,79.8333,1994,2011,LKA
CEM00043466,6.9,79.8667,1939,2023,LKA
CEM00043475,6.8833,81.8333,2010,2011,LKA
CEM00043497,6.1167,81.1333,1973,2023,
CFM00064400,-4.8167,11.9,1947,2023,COG
CFM00064401,-4.217,12.667,1949,1994,COG
CFM00064450,-4.25,15.25,1973,2023,COG
CFM00064453,-2.533,14.767,1973,1986,COG
CFM00064458,1.6167,16.05,1963,2022,COG
CGM00064210,-4.383,15.433,1967,1990,COD
CHM00050353,51.717,126.65,1973,1987,CHN
CHM00050527,49.25,119.7,1956,2023,CHN
CHM00050557,49.1667,125.2333,1956,2023,CHN
CHM00050603,48.667,116.817,1973,1997,CHN
CHM00050745,47.383,123.917,1973,2000,CHN
CHM00050774,47.7167,128.8333,1973,2023,CHN
CHM00050834,46.5,121.36,1982,2000,CHN
CHM00050953,45.9333,126.5667,1958,2023,CHN
CHM00051076,47.7333,88.0833,1958,2023,CHN
CHM00051133,46.733,83.0,1964,2002,CHN
CHM00051156,46.81,85.7489,1973,2017,CHN
CHM00051232,45.95,82.56,1973,1999,CHN
CHM00051243,45.6167,84.85,1973,2023,CHN
CHM00051288,45.367,90.533,1959,2002,CHN
CHM00051334,44.617,82.9,1973,1998,CHN
CHM00051379,44.017,89.567,1973,1998,CHN
CHM00051431,43.95,81.3333,1956,2023,CHN
CHM00051463,43.7833,87.6167,1956,2023,CHN
CHM00051495,43.483,91.633,1973,1998,CHN
CHM00051573,42.933,89.2,1973,1998,CHN
CHM00051628,41.26,80.3,1959,1999,CHN
CHM00051644,41.7167,82.95,1957,2023,CHN
CHM00051656,41.7294,85.8186,1964,2023,CHN
CHM00051701,40.45,75.383,1973,1991,CHN
CHM00051709,39.4833,75.75,1956,2023,CHN
CHM00051711,40.933,78.45,1973,1987,CHN
CHM00051716,39.8,78.567,1973,1998,CHN
CHM00051765,40.633,87.7,1973,1998,CHN
CHM00051777,39.0333,88.1667,1956,2023,CHN
CHM00051811,38.433,77.267,1973,1998,CHN
CHM00051828,37.1333,79.9333,1957,2023,CHN
CHM00051839,37.0667,82.7167,1973,2023,CHN
CHM00051848,37.93,83.65,1979,1998,CHN
CHM00051886,38.25,90.85,1973,2002,CHN
CHM00052203,42.8167,93.5167,1957,2023,CHN
CHM00052267,41.95,101.0667,1957,2023,CHN
CHM00052323,41.8,97.0333,1963,2023,CHN
CHM00052418,40.15,94.6833,1957,2023,CHN
CHM00052495,40.75,104.5,1971,2002,CHN
CHM00052533,39.7667,98.4833,1956,2023,CHN
CHM00052602,38.833,93.383,1959,1993,CHN
CHM00052681,38.6333,103.0833,1957,2023,CHN
CHM00052713,37.85,95.367,1973,1987,CHN
CHM00052737,37.317,97.217,1973,1998,CHN
CHM00052818,36.4167,94.9,1957,2023,CHN
CHM00052836,36.3,98.1,1956,2023,CHN
CHM00052856,36.35,100.78,1973,1988,CHN
CHM00052866,36.7167,101.75,1958,2023,CHN
CHM00052889,36.05,103.883,1956,2001,CHN
CHM00052908,35.217,93.083,1973,1987,CHN
CHM00052983,35.8667,104.15,2001,2023,CHN
CHM00053068,43.6333,111.95,1973,2023,CHN
CHM00053083,44.617,114.15,1973,1997,CHN
CHM00053231,41.45,106.383,1973,1988,CHN
CHM00053276,42.4,112.9,1956,1988,CHN
CHM00053336,41.5667,108.5167,1973,2020,CHN
CHM00053463,40.85,111.5667,1956,2023,CHN
CHM00053487,40.1,113.333,1973,1988,CHN
CHM00053502,39.783,105.75,1973,1987,CHN
CHM00053513,40.7333,107.3667,1973,2023,CHN
CHM00053529,39.1,107.983,1973,1988,CHN
CHM00053543,39.8333,109.9833,1963,2023,CHN
CHM00053564,39.383,111.15,1973,1988,CHN
CHM00053614,38.4667,106.2,1957,2023,CHN
CHM00053772,37.6206,112.5767,1956,2023,CHN
CHM00053798,37.1808,114.3589,1967,2020,CHN
CHM00053821,36.767,107.2,1973,1987,CHN
CHM00053845,36.5667,109.45,1956,2023,CHN
CHM00053853,36.7,110.933,1973,1988,CHN
CHM00053898,36.05,114.4,1973,1987,CHN
CHM00053915,35.55,106.6667,1959,2023,CHN
CHM00054012,44.583,117.6,1973,1988,CHN
CHM00054027,43.983,119.4,1979,1987,CHN
CHM00054094,44.567,129.6,1973,1987,CHN
CHM00054102,43.95,116.1167,1956,2023,CHN
CHM00054135,43.6,122.2667,1959,2023,CHN
CHM00054161,43.9,125.2167,1956,2023,CHN
CHM00054218,42.3,118.8333,1956,2023,CHN
CHM00054237,42.0,121.667,1973,1987,CHN
CHM00054292,42.8667,129.5,1956,2023,CHN
CHM00054337,41.117,121.067,1960,2007,CHN
CHM00054342,41.7333,123.5167,1956,2019,CHN
CHM00054374,41.8,126.8833,1959,2023,CHN
CHM00054401,40.7833,114.8833,1973,2020,CHN
CHM00054423,40.967,117.917,1973,1989,CHN
CHM00054497,40.083,124.333,1960,2007,CHN
CHM00054511,39.9333,116.2833,1956,2023,CHN
CHM00054539,39.4333,118.9,1973,2010,CHN
