datetime,tmp,tmp_3h,tmp_6h,slp,slp_3h,slp_6h,QUALITY_CONTROL
2010-01-07 00:00:00,8.41,8.443333333333333,8.524285714285714,1013.3100000000001,1013.2766666666666,1013.3814285714286,V020
2010-01-07 12:00:00,9.01,9.343333333333334,9.581428571428571,,,,V020
2010-01-08 00:00:00,10.209999999999999,9.443333333333333,9.295714285714284,1011.3100000000001,1011.3766666666667,,V020
2010-01-08 12:00:00,2.0100000000000002,2.3433333333333337,4.724285714285714,,,,V020
2010-01-09 00:00:00,6.01,6.21,6.109999999999999,1020.21,1020.11,1020.0100000000001,V020
2010-01-09 12:00:00,1.01,0.676666666666666,1.4814285714285713,,,,V020
2010-01-10 00:00:00,7.31,7.409999999999999,6.838571428571428,1014.9100000000001,1014.8100000000001,1014.9528571428572,V020
2010-01-10 12:00:00,5.71,5.343333333333333,,1012.51,1012.4766666666668,,V020
2010-01-11 00:00:00,5.21,4.576666666666666,4.138571428571429,1016.8100000000001,1016.7766666666668,1016.7385714285714,V020
2010-01-11 12:00:00,1.01,0.6766666666666662,0.9528571428571428,,,,V020
2010-01-12 00:00:00,1.81,1.7766666666666662,1.3814285714285715,1018.3100000000001,1018.2766666666666,1018.3100000000001,V020
2010-01-12 12:00:00,0.01,0.009999999999999407,0.01,,,,V020
2010-01-13 00:00:00,1.41,1.176666666666666,1.167142857142857,1016.01,1016.11,1016.1385714285715,V020
2010-01-13 12:00:00,1.01,1.3433333333333328,1.4385714285714286,,,,V020
2010-01-14 00:00:00,0.11000000000000001,0.17666666666666608,0.2671428571428572,1014.9100000000001,1015.0433333333334,1015.1528571428572,V020
2010-01-14 12:00:00,1.01,1.0099999999999996,1.01,,,,V020
2010-01-15 00:00:00,0.71,1.2766666666666662,1.752857142857143,1022.9100000000001,1022.9433333333333,1022.867142857143,V020
2010-01-15 12:00:00,5.01,5.343333333333333,5.152857142857143,,,,V020
2010-01-16 00:00:00,10.709999999999999,10.61,10.424285714285714,1020.71,1020.6433333333334,1020.5528571428571,V020
2010-01-16 12:00:00,12.01,11.676666666666668,12.010000000000002,,,,V020
2010-01-17 00:00:00,10.01,9.409999999999998,9.41,1018.9100000000001,1018.9100000000002,1018.9814285714286,V020
2010-01-17 12:00:00,11.01,11.11,10.995714285714286,1018.01,1018.0433333333334,,V020
2010-01-18 00:00:00,5.21,5.843333333333333,6.338571428571428,1019.21,1019.2766666666666,1019.1528571428571,V020
2010-01-18 12:00:00,3.0100000000000002,3.01,3.1528571428571435,,,,V020
2010-01-19 00:00:00,3.91,3.309999999999999,3.0671428571428576,1018.8100000000001,1018.71,1018.4957142857144,V020
2010-01-19 12:00:00,2.0100000000000002,1.9433333333333327,1.4100000000000001,,,,V020
2010-01-20 00:00:00,1.61,2.0766666666666658,1.8671428571428572,1020.51,1020.4766666666668,1020.6528571428572,V020
2010-01-20 12:00:00,3.0100000000000002,3.0099999999999993,2.867142857142858,,,,V020
2010-01-21 00:00:00,1.01,1.1099999999999992,0.7957142857142857,1035.6100000000001,1035.4766666666667,1035.452857142857,V020
